94,57
61,81
24,92
14,59
38,38
86,45
79,36
26,58
29,51
28,13
57,0
58,68
44,38
39,28
43,60
11,39
20,54
0,1
2,3
16,31
76,49
84,81
17,37
56,63
40,51
25,87
71,30
48,90
35,11
90,77
92,85
25,36
34,38
63,8
73,14
94,64
20,6
13,43
27,87
100,48
55,89
52,85
78,94
2,51
31,61
99,95
42,39
0,40
21,87
17,27
73,22
18,71
13,98
18,52
99,71
86,43
6,72
64,24
87,68
28,14
14,20
96,40
1,63
22,96
25,98
87,23
94,92
16,47
92,100
26,12
71,76
9,39
10,95
10,21
98,97
22,47
39,10
60,89
60,75
84,72
5,12
18,50
1,96
62,28
91,82
84,82
6,98
53,24
91,59
71,31
31,90
54,55
81,93
46,100
20,17
67,31
29,7
39,88
85,69
23,97
