-16,91
47,86
-23,-71
-24,52
76,-75
64,75
-5,41
30,33
-71,85
-15,-36
-31,53
-25,-21
61,50
29,7
-37,-56
-67,85
-24,16
70,-18
27,9
72,99
-67,-12
-46,63
4,44
56,-65
-2,41
65,42
20,80
-33,-52
-46,-24
-14,-13
23,-54
-99,-99
82,-66
57,-20
16,-35
52,-27
58,-5
-19,-85
-17,29
61,69
65,-47
93,36
43,79
9,-4
36,56
-67,35
-89,-85
-24,-74
-68,-71
-100,-44
56,26
-39,98
-83,72
-74,47
62,-48
-52,61
-4,-72
96,22
-62,64
45,96
-62,-66
98,61
80,78
64,29
66,-62
-52,-15
64,-22
5,0
-83,-13
38,49
-10,-99
5,27
6,-81
-37,78
55,-21
-44,-88
23,97
-52,-49
-19,-16
13,-32
-66,-77
41,-64
-21,-58
-37,86
-36,-53
33,-82
-55,-92
72,-25
-2,-77
59,62
-72,-78
11,3
-45,80
49,3
98,-49
66,13
-71,-86
62,76
-28,-12
-14,64
89,5
-93,39
-80,-42
-31,11
19,-20
15,33
-59,-67
47,26
-76,54
22,-100
-64,23
13,-95
-69,-36
-13,61
15,-74
-6,-70
51,61
-90,-10
-84,-35
75,-70
26,-33
-74,53
78,0
58,-77
50,39
-48,-82
12,-6
27,95
-36,-11
41,-60
-90,-87
63,-20
-91,56
-32,-52
-38,0
-58,32
82,17
-39,-32
-53,41
10,-63
-44,-97
3,-78
60,7
47,-88
-43,-73
-76,-42
70,42
53,2
58,-24
80,84
-88,68
-100,98
-8,-96
-46,11
-28,-67
53,-1
-14,-50
4,-15
38,-62
-24,6
-30,-27
17,-44
-64,-42
-14,74
2,49
-94,-48
29,-73
29,4
58,38
14,28
5,85
91,-57
15,-69
50,-40
-78,13
86,87
-40,-28
-50,-44
-40,53
57,-26
-32,-47
-22,-93
-6,75
-4,-69
-88,84
-90,39
-100,58
-5,83
20,42
-93,-100
-95,4
26,-16
32,-1
34,-5
13,45
23,-28
-99,-4
93,-91
-93,-51
23,-63
-91,-65
89,69
-51,-45
16,40
-95,-76
10,56
1,19
6,6
-15,-24
50,85
-8,15
9,28
64,-60
-78,90
100,-65
-89,-10
-85,-57
62,-67
45,19
-37,-80
-98,51
65,59
38,-83
2,-35
-50,79
34,45
7,-17
-77,-7
38,-2
6,-11
-92,-43
23,-60
-83,-99
6,46
-82,37
20,-78
-60,-46
38,-55
66,96
-29,-43
-29,-89
-89,71
-17,-97
26,26
-79,3
-51,-63
91,98
92,-63
13,36
-30,11
-98,-54
-61,-44
91,5
-22,-51
-41,-94
26,-20
17,-67
60,-22
74,86
-45,-35
-58,61
23,59
23,-39
19,24
38,33
76,15
-49,24
38,-2
-75,16
-8,82
-1,29
59,-71
-33,42
-71,-50
40,-28
-88,-52
27,-100
-21,69
-91,-89
78,-65
-73,6
-94,63
50,88
9,-59
-58,40
